Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002771;;75015;13;1;SAGP;REAMENAGEMENT_SECTEUR;;rue Auguste Dorchain et rue Joseph Liouville;Fermeture ponctuelle des deux rues pendant la phases de travaux rue de la Croix Nivert avec mise en sens unique de la rue Joseph Liouville.;2025-01-13;2025-12-31;SENS_UNIQUE;fermeture de la rue Dorchain  du 07/01 au 10/03/2025, mise en sens unique de circulation de la rue Liouville du 13/01/ au 31/10/2025? déviation mise en place depuis la rue mademoiselle.;1;2;;"{""coordinates"": [[[2.298346171742704, 48.84493106058378], [2.298371846651267, 48.844837223833856], [2.2982008360676294, 48.84484696189021], [2.2978120003892726, 48.845019228279526], [2.2976665192144314, 48.84494587011225], [2.2978085547530887, 48.84376515143133], [2.2976822598543243, 48.843777836703], [2.297576945187403, 48.84495071432874], [2.297790609981216, 48.84509697791158], [2.298346171742704, 48.84493106058378]]], ""type"": ""Polygon""}";48.84455472792496, 2.2978075906291853
CP002804;;75008;9;3;O.G.I.C;REHABILITATION_IMMEUBLE;;61 - 59 Bld Haussmann;;2024-09-02;2026-09-14;RESTREINTE;2 phases sur trottoir et voie de circulation.;2;2;;"{""coordinates"": [[[2.325710773428512, 48.87382795153473], [2.3257157047943107, 48.87384006284122], [2.3261815878128833, 48.87377891136784], [2.3261758377120256, 48.873751354708254], [2.325701788674171, 48.87381447468071], [2.325710773428512, 48.87382795153473]]], ""type"": ""Polygon""}";48.87379594480869, 2.325945345329151
CP002876;;75018;9;1;SAGP;REAMENAGEMENT_VOIRIE;;Bretelle sortie Bd Périphérique(bj/18);;2025-04-01;2025-12-31;BARRAGE_TOTAL;;1;4;;"{""coordinates"": [[[2.3581527984198862, 48.900304063936], [2.358210246016951, 48.900269464881404], [2.3581175359115694, 48.90019109725697], [2.3580318791042236, 48.90020137867377], [2.3581527984198862, 48.900304063936]]], ""type"": ""Polygon""}";48.90024203846762, 2.3581265643694023
CP002913;;75019;10;1;STV;REAMENAGEMENT_VOIRIE;Aménagement du carrefour;rue du Général brunet;carrefour Général Brunet / Compans/ Mouzaïa;2025-09-02;2025-11-14;RESTREINTE;circulation difficile en plusieurs phases;1;3;;"{""coordinates"": [[[[2.390439300775138, 48.879912320457784], [2.390536198956492, 48.87985384210358], [2.3904756524962516, 48.87980922752399], [2.3902319166684234, 48.87993687723805], [2.390162756190865, 48.87993249776485], [2.3898960342160347, 48.879763311450354], [2.389768889347682, 48.8798432208147], [2.389717623629015, 48.87987518154354], [2.3897135680895314, 48.87987381817173], [2.3899599506979343, 48.880041558538245], [2.389959384554406, 48.88008989007213], [2.389824096394302, 48.88016975797968], [2.389910853164995, 48.88023598780713], [2.3900522954701753, 48.88015212396733], [2.390123539035746, 48.88015248692047], [2.390670815699205, 48.880527178286016], [2.390889905504363, 48.88041819830779], [2.390566843014001, 48.8801923372286], [2.3905907550113215, 48.88014949532982], [2.3908175112199364, 48.880168103548726], [2.3908200493944705, 48.880125152842865], [2.3908318294031132, 48.87998826572452], [2.3904697428119954, 48.87996628408921], [2.390447823547302, 48.87992589335377], [2.3904336840707696, 48.87991642337569], [2.390439300775138, 48.879912320457784]], [[2.3903332373777286, 48.87997632969455], [2.390420210042513, 48.87992384168129], [2.3904193416865573, 48.87992440563556], [2.3903332373777286, 48.87997632969455]], [[2.390420210042513, 48.87992384168129], [2.390450110595228, 48.87990442363213], [2.390439300775138, 48.879912320457784], [2.390420210042513, 48.87992384168129]]]], ""type"": ""MultiPolygon""}";48.880112606108995, 2.390352587988481
CP002697;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;Base de vie.;79 boulevard de Strasbourg.;en chaussée centrale du boulevard de Strasbourg.;2024-11-12;2025-11-14;RESTREINTE;Réduction de la voirie des BUS et Taxis  sens gare de l'EST boulevard Magenta au droit du  boulevard de Strasbourg.;2;2;;"{""coordinates"": [[[2.357626786382648, 48.8753909265887], [2.3576736405120413, 48.87538782078958], [2.357675684239932, 48.87538716085166], [2.3575753672907913, 48.87518657074664], [2.357538632610941, 48.87519442984643], [2.3575126685307484, 48.875236583548], [2.3575608789960816, 48.87537110498413], [2.357626786382648, 48.8753909265887]]], ""type"": ""Polygon""}";48.8752975487471, 2.357585321445377
CP002873;;75014;12;1;SAGP;REAMENAGEMENT_VOIRIE;Création d'un parc a chien et aménagement de la place Denfert Rochereau(vélos - vl);Place Denfert Rochereau;;2025-05-05;2025-12-18;RESTREINTE;du 28/07/ au 12/08 fermeture total de la rue René Coty(station orly bus- station RER Denfert Rochereau);1;2;;"{""coordinates"": [[[[2.3293014064912256, 48.835237093457394], [2.329477889311819, 48.83540967652578], [2.3311611540748323, 48.83483906353826], [2.331434298099993, 48.83510912647838], [2.331744531121677, 48.8350249288858], [2.3320533854601755, 48.83504813730712], [2.3319364669097697, 48.835283795700235], [2.3322449114599406, 48.83533922485972], [2.332546025101513, 48.834696419358025], [2.3327707791960512, 48.83493398476196], [2.3330490168599005, 48.83480663967419], [2.3328892052357673, 48.834580178185675], [2.3343202668703635, 48.834641859000264], [2.3343559618473773, 48.834395004127856], [2.3335916930149345, 48.834358523919946], [2.333496408458367, 48.83417538831341], [2.3361092801684533, 48.83342727737391], [2.3358541687436247, 48.83301768667696], [2.3336501136952332, 48.833606949021004], [2.333234248124363, 48.833046075714265], [2.3326642693500395, 48.83308586257792], [2.3325961665950965, 48.83332179434505], [2.3319750370700163, 48.833543897344775], [2.3320386011263863, 48.83366240819334], [2.330812316109653, 48.83412817775529], [2.3308593317517823, 48.834268078973516], [2.3293014064912256, 48.835237093457394]]], [[[2.329284720077821, 48.83524747216045], [2.3293014064912256, 48.835237093457394], [2.32930112932187, 48.835236822991405], [2.329284720077821, 48.83524747216045]]]], ""type"": ""MultiPolygon""}";48.83415565136278, 2.332637279493124
CP002910;;75020;10;1;STV;REFECTION_CHAUSSEE;;rue Pierre Bayle;;2025-10-13;2025-11-07;SENS_UNIQUE;mise en inversion de sens de circulation.;1;2;;"{""coordinates"": [[[2.3899647583976, 48.858461073096116], [2.390135232015803, 48.858499536483414], [2.3906682417291747, 48.85885670914485], [2.3911634516266758, 48.85896664122743], [2.3912051506685144, 48.85888092448429], [2.390717828186214, 48.85879251449721], [2.390200530132405, 48.858483757461464], [2.390258947326619, 48.85836053172333], [2.3899647583976, 48.858461073096116]]], ""type"": ""Polygon""}";48.85871605482454, 2.390601990997054
CP002933;;75014;12;1;musée ville de Paris;REHABILITATION_IMMEUBLE;;avenue Henri Rol-Tanguy;;2025-11-03;2026-04-30;RESTREINTE;Suppression voie BUS;2;2;;"{""coordinates"": [[[2.332451275273224, 48.834004113308275], [2.3321461410447752, 48.8336909081237], [2.3320398386492966, 48.833733280186806], [2.3323047098768033, 48.83401403730301], [2.332312776430295, 48.83401945247924], [2.332353519156562, 48.83401430976558], [2.3323697884625725, 48.834014400579484], [2.332304572302582, 48.834024777726114], [2.332451275273224, 48.834004113308275]]], ""type"": ""Polygon""}";48.83386370411516, 2.332239688952074
CP002945;;75014;12;3;RATP;TRAVAUX_OUVRAGE;;24 Boulevard Jourdan;Depuis le rue de la Cité universitaire à la station du RER.;2025-12-08;2025-12-15;BARRAGE_TOTAL;Travaux de 21h à 5h00 du matin, installation d'une base vie.;1;1;;"{""coordinates"": [[[[2.3391188207565405, 48.82024368043361], [2.339228616500269, 48.82038107146695], [2.341579238307126, 48.8199135235735], [2.3415647352530833, 48.819773803004715], [2.3391188207565405, 48.82024368043361]]], [[[2.339228616500269, 48.82038107146695], [2.339214644072839, 48.82038385069009], [2.339230909137686, 48.82038394057183], [2.339228616500269, 48.82038107146695]]]], ""type"": ""MultiPolygon""}";48.82008183573835, 2.340350980169904
CP002948;;75001;11;3;APHP;REHABILITATION_IMMEUBLE;;3 avenue Victoria;;2026-01-05;2026-09-11;RESTREINTE;neutralisation d'une voie de circulation.;2;1;;"{""coordinates"": [[[2.3508154198246403, 48.85674788613137], [2.349737464429701, 48.85703741610742], [2.34940271527231, 48.8571215268654], [2.349272968280961, 48.857083226700354], [2.3491296968000137, 48.85682465838473], [2.3490727271560403, 48.85682434850048], [2.3492881730850654, 48.857169238775064], [2.3493526100798987, 48.85722329569794], [2.3495320588388395, 48.857192047539684], [2.349557547034071, 48.85710625669848], [2.349851402829179, 48.85703803520833], [2.349964738238353, 48.85708698654477], [2.350863113093033, 48.85683944519334], [2.3508154198246403, 48.85674788613137]]], ""type"": ""Polygon""}";48.85697450363121, 2.350050305233319
